Indicator,Percent of children considered to be poor (<100% FPG) by Race / Ethnicity
Source,"SHADAC analysis of the American Community Survey (ACS) Public Use Microdata Sample (PUMS) files.<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"The margin of error (MOE) represents the uncertainty of an estimate due to sampling variability; the calculated MOE is 95%. N/A indicates that data were not available or suppressed because the number of sample cases was too small. Data for 2020 were <a href="https://www.shadac.org/news/changes-to-2020-acs-data-release-US-Census" target="_blank">not officially released by the U.S. Census Bureau</a> due to pandemic-related disruptions to data collection and resulting problems with data quality. Because of<a href="https://www.census.gov/newsroom/blogs/random-samplings/2021/08/improvements-to-2020-census-race-hispanic-origin-question-designs.html" target="_blank"> changes made in 2020 to how the ACS measures race and ethnicity</a>, caution should be used when comparing data by race and ethnicity from 2021 and later to data from 2019 and earlier."
Description,"Percent of children considered to be poor (&lt;100% FPG) by race and ethnicity. The Federal Poverty Guidelines (FPG) set the minimum amount of total income that a family needs for food, clothing, transportation, shelter and other necessities."
29,Missouri,Other / Multiple Races,2011,Percent,0.3184,6.8208001599999998E-2
29,Missouri,White,2010,Percent,0.1951,1.4503999599999999E-2
29,Missouri,African-American / Black,2010,Percent,0.4449,4.9587998500000001E-2
29,Missouri,Hispanic / Latino,2010,Percent,0.3849,6.9187998799999997E-2
29,Missouri,Other / Multiple Races,2010,Percent,0.2955,5.9388000500000003E-2
29,Missouri,White,2009,Percent,0.1964,1.5288E-2
29,Missouri,African-American / Black,2009,Percent,0.4524,4.9587998500000001E-2
29,Missouri,Hispanic / Latino,2009,Percent,0.4033,6.9972001000000006E-2
29,Missouri,Other / Multiple Races,2009,Percent,0.2988,5.8995999399999999E-2
29,Missouri,White,2008,Percent,0.1682,1.37200002E-2
29,Missouri,African-American / Black,2008,Percent,0.4235,5.2528001400000003E-2
29,Missouri,Hispanic / Latino,2008,Percent,0.347,7.78120011E-2
29,Missouri,Other / Multiple Races,2008,Percent,0.2574,5.5468000500000003E-2
29,Missouri,African-American / Black,2017,Percent,0.4036,5.8015999999999998E-2
29,Missouri,Hispanic / Latino,2017,Percent,0.2781,6.4287999999999998E-2
29,Missouri,Other / Multiple Races,2017,Percent,0.2705,5.3704000000000002E-2
29,Missouri,White,2017,Percent,0.1695,1.4504E-2
29,Missouri,African-American / Black,2018,Percent,0.3982,5.9583999999999998E-2
29,Missouri,Hispanic / Latino,2018,Percent,0.3014,6.9776000000000005E-2
29,Missouri,Other / Multiple Races,2018,Percent,0.2368,5.6056000000000002E-2
29,Missouri,White,2018,Percent,0.1663,1.5092E-2
29,Missouri,African-American / Black,2019,Percent,0.3015,5.4292E-2
29,Missouri,Hispanic / Latino,2019,Percent,0.2782,6.8991999999999998E-2
29,Missouri,Other / Multiple Races,2019,Percent,0.2097,5.4879999999999998E-2
29,Missouri,White,2019,Percent,0.1522,1.5092E-2
29,Missouri,African-American / Black,2021,Percent,0.34151,6.086458163764543E-2
29,Missouri,Hispanic / Latino,2021,Percent,0.22043,5.7239076142410077E-2
29,Missouri,Other / Multiple Races,2021,Percent,0.17827,3.8344733399761688E-2
29,Missouri,White,2021,Percent,0.12296,1.3411242550311127E-2
30,Montana,African-American / Black,2016,Percent,N/A,N/A
30,Montana,Other / Multiple Races,2016,Percent,0.3072,8.7612003100000002E-2
30,Montana,White,2016,Percent,0.1645,4.0963999899999999E-2
30,Montana,Hispanic / Latino,2016,Percent,N/A,N/A
30,Montana,White,2015,Percent,0.1726,4.0571998800000002E-2
30,Montana,African-American / Black,2015,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2015,Percent,N/A,N/A
30,Montana,Other / Multiple Races,2015,Percent,0.4995,0.1036840007
30,Montana,White,2014,Percent,0.1944,4.4296000199999998E-2
30,Montana,African-American / Black,2014,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2014,Percent,0.3832,0.1995279938
30,Montana,Other / Multiple Races,2014,Percent,0.4531,0.10976000130000001
30,Montana,White,2013,Percent,0.2058,4.0376000099999997E-2
30,Montana,African-American / Black,2013,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2013,Percent,0.3278,0.16052399580000001
30,Montana,Other / Multiple Races,2013,Percent,0.5185,0.1064279974
30,Montana,White,2012,Percent,0.1775,3.8219999499999997E-2
30,Montana,African-American / Black,2012,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2012,Percent,0.5432,0.18757200239999999
30,Montana,Other / Multiple Races,2012,Percent,0.4467,0.1003519967
30,Montana,White,2011,Percent,0.1635,3.58680002E-2
30,Montana,African-American / Black,2011,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2011,Percent,N/A,N/A
30,Montana,Other / Multiple Races,2011,Percent,0.4086,0.1046639979
30,Montana,White,2010,Percent,0.1879,3.4299999499999997E-2
30,Montana,African-American / Black,2010,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2010,Percent,0.3446,0.1975679994
30,Montana,Other / Multiple Races,2010,Percent,0.4513,0.12583200629999999
30,Montana,White,2009,Percent,0.1859,4.1356001000000003E-2
30,Montana,African-American / Black,2009,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2009,Percent,0.5689,0.2091320008
30,Montana,Other / Multiple Races,2009,Percent,0.382,0.1109360009
30,Montana,White,2008,Percent,0.1728,3.6651998800000002E-2
30,Montana,African-American / Black,2008,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2008,Percent,0.4207,0.20854400100000001
30,Montana,Other / Multiple Races,2008,Percent,0.4166,0.1225000024
30,Montana,African-American / Black,2017,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2017,Percent,0.3788,0.18031999999999998
30,Montana,Other / Multiple Races,2017,Percent,0.3783,9.5060000000000006E-2
30,Montana,White,2017,Percent,0.1292,3.1556000000000001E-2
30,Montana,African-American / Black,2018,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2018,Percent,N/A,N/A
30,Montana,Other / Multiple Races,2018,Percent,0.3737,9.5255999999999993E-2
30,Montana,White,2018,Percent,0.1272,3.1359999999999999E-2
30,Montana,African-American / Black,2019,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2019,Percent,0.3717,0.198548
30,Montana,Other / Multiple Races,2019,Percent,0.4456,0.11720799999999999
30,Montana,White,2019,Percent,0.1282,3.2536000000000002E-2
30,Montana,African-American / Black,2021,Percent,N/A,N/A
30,Montana,Hispanic / Latino,2021,Percent,N/A,N/A
30,Montana,Other / Multiple Races,2021,Percent,0.33974,0.10156386542225224
30,Montana,White,2021,Percent,0.09807,2.912504542897951E-2
31,Nebraska,Hispanic / Latino,2016,Percent,0.3804,9.1531999399999994E-2
31,Nebraska,White,2016,Percent,0.1127,2.2148000099999999E-2
31,Nebraska,African-American / Black,2016,Percent,0.3783,0.14621600509999999
31,Nebraska,Other / Multiple Races,2016,Percent,0.1762,8.0752000199999993E-2
31,Nebraska,White,2015,Percent,0.1201,2.23440006E-2
31,Nebraska,African-American / Black,2015,Percent,0.4114,0.16483600440000001
31,Nebraska,Hispanic / Latino,2015,Percent,0.3752,9.2316001699999997E-2
31,Nebraska,Other / Multiple Races,2015,Percent,0.3946,0.1089759991
31,Nebraska,White,2014,Percent,0.132,2.84199994E-2
31,Nebraska,African-American / Black,2014,Percent,0.5025,0.15797600149999999
31,Nebraska,Hispanic / Latino,2014,Percent,0.3433,7.8203998499999997E-2
31,Nebraska,Other / Multiple Races,2014,Percent,0.2212,7.4479997199999995E-2
31,Nebraska,White,2013,Percent,0.1313,2.54800003E-2
31,Nebraska,African-American / Black,2013,Percent,0.4785,0.1556240022
31,Nebraska,Hispanic / Latino,2013,Percent,0.3003,9.4080001100000005E-2
31,Nebraska,Other / Multiple Races,2013,Percent,0.212,7.6636001499999995E-2
31,Nebraska,White,2012,Percent,0.1131,2.1363999700000001E-2
31,Nebraska,African-American / Black,2012,Percent,0.3299,0.1407279968
31,Nebraska,Hispanic / Latino,2012,Percent,0.3433,8.95719975E-2
31,Nebraska,Other / Multiple Races,2012,Percent,0.3295,0.10172399880000001
31,Nebraska,White,2011,Percent,0.1294,2.15600003E-2
31,Nebraska,African-American / Black,2011,Percent,0.2406,0.13327999409999999
31,Nebraska,Hispanic / Latino,2011,Percent,0.3371,9.0159997300000003E-2
31,Nebraska,Other / Multiple Races,2011,Percent,0.2817,9.6235998000000003E-2
31,Nebraska,White,2010,Percent,0.1324,2.3911999499999999E-2
31,Nebraska,African-American / Black,2010,Percent,0.6451,0.1473920047
31,Nebraska,Hispanic / Latino,2010,Percent,0.3733,9.3688003699999994E-2
31,Nebraska,Other / Multiple Races,2010,Percent,0.3187,0.11779599640000001
31,Nebraska,White,2009,Percent,0.1219,2.3127999199999999E-2
31,Nebraska,African-American / Black,2009,Percent,0.4524,0.1440600008
31,Nebraska,Hispanic / Latino,2009,Percent,0.3925,9.5647998200000001E-2
31,Nebraska,Other / Multiple Races,2009,Percent,0.3342,0.1228919998
31,Nebraska,White,2008,Percent,0.1099,2.33239997E-2
31,Nebraska,African-American / Black,2008,Percent,0.4198,0.15699599680000001
31,Nebraska,Hispanic / Latino,2008,Percent,0.312,9.8195999899999997E-2
31,Nebraska,Other / Multiple Races,2008,Percent,0.2025,9.1140001999999998E-2
31,Nebraska,African-American / Black,2017,Percent,0.4337,0.16189600000000001
31,Nebraska,Hispanic / Latino,2017,Percent,0.3467,8.9768000000000001E-2
31,Nebraska,Other / Multiple Races,2017,Percent,0.2569,9.9764000000000005E-2
31,Nebraska,White,2017,Percent,0.0984,2.0188000000000001E-2
31,Nebraska,African-American / Black,2018,Percent,0.363,0.17424400000000001
31,Nebraska,Hispanic / Latino,2018,Percent,0.3545,8.9375999999999997E-2
31,Nebraska,Other / Multiple Races,2018,Percent,0.2468,8.6632000000000001E-2
31,Nebraska,White,2018,Percent,0.1021,2.4303999999999999E-2
31,Nebraska,African-American / Black,2019,Percent,N/A,N/A
31,Nebraska,Hispanic / Latino,2019,Percent,0.2342,7.3107999999999992E-2
31,Nebraska,Other / Multiple Races,2019,Percent,0.2029,8.8200000000000001E-2
31,Nebraska,White,2019,Percent,0.072,1.4896E-2
31,Nebraska,African-American / Black,2021,Percent,0.33375,0.1543805066303173
31,Nebraska,Hispanic / Latino,2021,Percent,0.20709,6.9513806805417216E-2
31,Nebraska,Other / Multiple Races,2021,Percent,0.17979,8.3431131241955295E-2
31,Nebraska,White,2021,Percent,0.07329,1.7955086271655402E-2
32,Nevada,African-American / Black,2016,Percent,0.4095,9.0552002199999995E-2
32,Nevada,Other / Multiple Races,2016,Percent,0.2031,4.8412002599999997E-2
32,Nevada,White,2016,Percent,0.1233,2.33239997E-2
32,Nevada,Hispanic / Latino,2016,Percent,0.3084,3.7239998599999997E-2
32,Nevada,White,2015,Percent,0.1574,2.6264000700000002E-2
32,Nevada,African-American / Black,2015,Percent,0.4658,8.6631998399999993E-2
32,Nevada,Hispanic / Latino,2015,Percent,0.3404,3.8415998200000002E-2
32,Nevada,Other / Multiple Races,2015,Percent,0.2013,4.4688001300000002E-2
32,Nevada,White,2014,Percent,0.1533,2.74400003E-2
32,Nevada,African-American / Black,2014,Percent,0.4793,8.4476001600000003E-2
32,Nevada,Hispanic / Latino,2014,Percent,0.3467,3.90040018E-2
32,Nevada,Other / Multiple Races,2014,Percent,0.1813,4.4491998900000003E-2
32,Nevada,White,2013,Percent,0.162,2.84199994E-2
32,Nevada,African-American / Black,2013,Percent,0.4362,9.17280018E-2
32,Nevada,Hispanic / Latino,2013,Percent,0.3347,3.9200000499999998E-2
32,Nevada,Other / Multiple Races,2013,Percent,0.193,4.6059999599999998E-2
32,Nevada,White,2012,Percent,0.1754,2.84199994E-2
32,Nevada,African-American / Black,2012,Percent,0.4226,9.1531999399999994E-2
32,Nevada,Hispanic / Latino,2012,Percent,0.349,3.7239998599999997E-2
32,Nevada,Other / Multiple Races,2012,Percent,0.1758,4.5667998500000001E-2
32,Nevada,White,2011,Percent,0.1673,2.64599994E-2
32,Nevada,African-American / Black,2011,Percent,0.3973,9.29040015E-2
32,Nevada,Hispanic / Latino,2011,Percent,0.3427,3.78279984E-2
32,Nevada,Other / Multiple Races,2011,Percent,0.1688,4.4688001300000002E-2
32,Nevada,White,2010,Percent,0.149,2.2932000500000001E-2
32,Nevada,African-American / Black,2010,Percent,0.41,8.36919993E-2
32,Nevada,Hispanic / Latino,2010,Percent,0.3628,3.7436000999999997E-2
32,Nevada,Other / Multiple Races,2010,Percent,0.1981,4.8216000199999998E-2
32,Nevada,White,2009,Percent,0.1337,2.2539999299999999E-2
32,Nevada,African-American / Black,2009,Percent,0.3737,7.6439998999999995E-2
32,Nevada,Hispanic / Latino,2009,Percent,0.316,3.6063998899999998E-2
32,Nevada,Other / Multiple Races,2009,Percent,0.1716,4.3708000300000001E-2
32,Nevada,White,2008,Percent,0.1096,1.99919995E-2
32,Nevada,African-American / Black,2008,Percent,0.2365,7.3891997299999998E-2
32,Nevada,Hispanic / Latino,2008,Percent,0.2693,3.7043999899999999E-2
32,Nevada,Other / Multiple Races,2008,Percent,0.1096,3.2731998700000001E-2
32,Nevada,African-American / Black,2017,Percent,0.4817,8.7807999999999997E-2
32,Nevada,Hispanic / Latino,2017,Percent,0.2841,3.7044000000000001E-2
32,Nevada,Other / Multiple Races,2017,Percent,0.178,4.1943999999999995E-2
32,Nevada,White,2017,Percent,0.1404,2.5676000000000001E-2
32,Nevada,African-American / Black,2018,Percent,0.3808,8.0163999999999999E-2
32,Nevada,Hispanic / Latino,2018,Percent,0.2729,3.3711999999999999E-2
32,Nevada,Other / Multiple Races,2018,Percent,0.1876,5.0959999999999998E-2
32,Nevada,White,2018,Percent,0.1175,2.1559999999999999E-2
32,Nevada,African-American / Black,2019,Percent,0.3015,8.3103999999999997E-2
32,Nevada,Hispanic / Latino,2019,Percent,0.2504,3.5867999999999997E-2
32,Nevada,Other / Multiple Races,2019,Percent,0.1749,4.5471999999999999E-2
32,Nevada,White,2019,Percent,0.1368,2.6655999999999999E-2
32,Nevada,African-American / Black,2021,Percent,0.43924,9.3927662289684938E-2
32,Nevada,Hispanic / Latino,2021,Percent,0.22207,3.2374628338511055E-2
32,Nevada,Other / Multiple Races,2021,Percent,0.1806,4.0058633688159498E-2
32,Nevada,White,2021,Percent,0.1223,2.6130418871290237E-2
33,New Hampshire,White,2016,Percent,0.0756,1.8816001700000001E-2
33,New Hampshire,Other / Multiple Races,2016,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2016,Percent,N/A,N/A
33,New Hampshire,African-American / Black,2016,Percent,N/A,N/A
33,New Hampshire,White,2015,Percent,0.1151,2.6655999900000001E-2
33,New Hampshire,African-American / Black,2015,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2015,Percent,0.2729,0.12838000059999999
33,New Hampshire,Other / Multiple Races,2015,Percent,N/A,N/A
33,New Hampshire,White,2014,Percent,0.1423,2.9791999600000001E-2
33,New Hampshire,African-American / Black,2014,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2014,Percent,0.2752,0.14170800150000001
33,New Hampshire,Other / Multiple Races,2014,Percent,0.2424,0.14013999699999999
33,New Hampshire,White,2013,Percent,0.1222,2.7047999199999999E-2
33,New Hampshire,African-American / Black,2013,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2013,Percent,0.3136,0.1546439976
33,New Hampshire,Other / Multiple Races,2013,Percent,N/A,N/A
33,New Hampshire,White,2012,Percent,0.1386,3.1163999800000002E-2
33,New Hampshire,African-American / Black,2012,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2012,Percent,0.3605,0.176008001
33,New Hampshire,Other / Multiple Races,2012,Percent,N/A,N/A
33,New Hampshire,White,2011,Percent,0.1101,2.3911999499999999E-2
33,New Hampshire,African-American / Black,2011,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2011,Percent,N/A,N/A
33,New Hampshire,Other / Multiple Races,2011,Percent,N/A,N/A
33,New Hampshire,White,2010,Percent,0.115,2.3911999499999999E-2
33,New Hampshire,African-American / Black,2010,Percent,0.5444,0.28047600389999999
33,New Hampshire,Hispanic / Latino,2010,Percent,N/A,N/A
33,New Hampshire,Other / Multiple Races,2010,Percent,N/A,N/A
33,New Hampshire,White,2009,Percent,0.1166,2.35200003E-2
33,New Hampshire,African-American / Black,2009,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2009,Percent,0.323,0.15366399289999999
33,New Hampshire,Other / Multiple Races,2009,Percent,N/A,N/A
33,New Hampshire,White,2008,Percent,0.1015,2.2932000500000001E-2
33,New Hampshire,African-American / Black,2008,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2008,Percent,N/A,N/A
33,New Hampshire,Other / Multiple Races,2008,Percent,N/A,N/A
33,New Hampshire,African-American / Black,2017,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2017,Percent,0.2518,0.14699999999999999
33,New Hampshire,Other / Multiple Races,2017,Percent,N/A,N/A
33,New Hampshire,White,2017,Percent,0.1186,2.7832000000000003E-2
33,New Hampshire,African-American / Black,2018,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2018,Percent,N/A,N/A
33,New Hampshire,Other / Multiple Races,2018,Percent,N/A,N/A
33,New Hampshire,White,2018,Percent,0.1027,2.5087999999999999E-2
33,New Hampshire,African-American / Black,2019,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2019,Percent,N/A,N/A
33,New Hampshire,Other / Multiple Races,2019,Percent,N/A,N/A
33,New Hampshire,White,2019,Percent,0.0936,2.6263999999999999E-2
33,New Hampshire,African-American / Black,2021,Percent,N/A,N/A
33,New Hampshire,Hispanic / Latino,2021,Percent,N/A,N/A
33,New Hampshire,Other / Multiple Races,2021,Percent,N/A,N/A
33,New Hampshire,White,2021,Percent,0.08558,2.4472349185292605E-2
34,New Jersey,Other / Multiple Races,2016,Percent,0.0975,2.0775999900000001E-2
34,New Jersey,White,2016,Percent,0.0982,1.19559998E-2
34,New Jersey,African-American / Black,2016,Percent,0.3078,4.0180001399999998E-2
34,New Jersey,Hispanic / Latino,2016,Percent,0.3107,2.74400003E-2
34,New Jersey,White,2015,Percent,0.0972,1.19559998E-2
34,New Jersey,African-American / Black,2015,Percent,0.3305,3.6848001200000001E-2
34,New Jersey,Hispanic / Latino,2015,Percent,0.3376,2.74400003E-2
34,New Jersey,Other / Multiple Races,2015,Percent,0.1218,2.33239997E-2
34,New Jersey,White,2014,Percent,0.0966,1.13679999E-2
34,New Jersey,African-American / Black,2014,Percent,0.3332,3.6848001200000001E-2
34,New Jersey,Hispanic / Latino,2014,Percent,0.3652,2.7636000899999999E-2
34,New Jersey,Other / Multiple Races,2014,Percent,0.1191,2.1167999100000001E-2
34,New Jersey,White,2013,Percent,0.101,1.13679999E-2
34,New Jersey,African-American / Black,2013,Percent,0.3826,3.6651998800000002E-2
34,New Jersey,Hispanic / Latino,2013,Percent,0.3625,2.74400003E-2
34,New Jersey,Other / Multiple Races,2013,Percent,0.1275,2.2539999299999999E-2
34,New Jersey,White,2012,Percent,0.0906,1.03879999E-2
34,New Jersey,African-American / Black,2012,Percent,0.3431,3.48879993E-2
34,New Jersey,Hispanic / Latino,2012,Percent,0.3273,2.8028000099999999E-2
34,New Jersey,Other / Multiple Races,2012,Percent,0.1168,2.2148000099999999E-2
34,New Jersey,White,2011,Percent,0.0868,1.13679999E-2
34,New Jersey,African-American / Black,2011,Percent,0.3055,3.3319998500000003E-2
34,New Jersey,Hispanic / Latino,2011,Percent,0.3214,2.6655999900000001E-2
34,New Jersey,Other / Multiple Races,2011,Percent,0.1215,2.6655999900000001E-2
34,New Jersey,White,2010,Percent,0.085,9.6039995999999996E-3
34,New Jersey,African-American / Black,2010,Percent,0.3178,3.3711999700000002E-2
34,New Jersey,Hispanic / Latino,2010,Percent,0.3201,2.64599994E-2
34,New Jersey,Other / Multiple Races,2010,Percent,0.1151,2.2148000099999999E-2
34,New Jersey,White,2009,Percent,0.0833,9.4079999000000001E-3
34,New Jersey,African-American / Black,2009,Percent,0.3134,3.4299999499999997E-2
34,New Jersey,Hispanic / Latino,2009,Percent,0.315,2.6852000500000001E-2
34,New Jersey,Other / Multiple Races,2009,Percent,0.1112,2.6264000700000002E-2
34,New Jersey,White,2008,Percent,0.0807,9.8000000999999993E-3
34,New Jersey,African-American / Black,2008,Percent,0.2986,3.3516000999999997E-2
34,New Jersey,Hispanic / Latino,2008,Percent,0.2562,2.6264000700000002E-2
34,New Jersey,Other / Multiple Races,2008,Percent,0.0877,2.15600003E-2
34,New Jersey,African-American / Black,2017,Percent,0.2944,3.9983999999999999E-2
34,New Jersey,Hispanic / Latino,2017,Percent,0.2802,2.5284000000000001E-2
34,New Jersey,Other / Multiple Races,2017,Percent,0.0855,1.9404000000000001E-2
34,New Jersey,White,2017,Percent,0.0973,1.2544E-2
34,New Jersey,African-American / Black,2018,Percent,0.2864,4.1356000000000004E-2
34,New Jersey,Hispanic / Latino,2018,Percent,0.2774,2.7243999999999997E-2
34,New Jersey,Other / Multiple Races,2018,Percent,0.0885,1.7836000000000001E-2
34,New Jersey,White,2018,Percent,0.078,1.0388E-2
34,New Jersey,African-American / Black,2019,Percent,0.2699,4.018E-2
34,New Jersey,Hispanic / Latino,2019,Percent,0.2353,2.6655999999999999E-2
34,New Jersey,Other / Multiple Races,2019,Percent,0.1121,2.9596000000000001E-2
34,New Jersey,White,2019,Percent,0.0716,1.1564E-2
34,New Jersey,African-American / Black,2021,Percent,0.25103,3.8246814860469096E-2
34,New Jersey,Hispanic / Latino,2021,Percent,0.26751,2.5974879625072791E-2
34,New Jersey,Other / Multiple Races,2021,Percent,0.08438,1.6461540785762317E-2
34,New Jersey,White,2021,Percent,0.09667,1.6540409629264615E-2
35,New Mexico,Other / Multiple Races,2016,Percent,0.4611,6.7227996900000003E-2
35,New Mexico,African-American / Black,2016,Percent,0.5807,0.21697199340000001
35,New Mexico,White,2016,Percent,0.2056,4.4296000199999998E-2
35,New Mexico,Hispanic / Latino,2016,Percent,0.3851,4.19440009E-2
35,New Mexico,White,2015,Percent,0.1905,4.7628000400000002E-2
35,New Mexico,African-American / Black,2015,Percent,N/A,N/A
35,New Mexico,Hispanic / Latino,2015,Percent,0.3996,4.0963999899999999E-2
35,New Mexico,Other / Multiple Races,2015,Percent,0.4185,6.3308000599999997E-2
35,New Mexico,White,2014,Percent,0.1755,4.1356001000000003E-2
35,New Mexico,African-American / Black,2014,Percent,N/A,N/A
35,New Mexico,Hispanic / Latino,2014,Percent,0.3791,4.3512001600000003E-2
35,New Mexico,Other / Multiple Races,2014,Percent,0.4935,6.7620001700000001E-2
35,New Mexico,White,2013,Percent,0.176,3.7043999899999999E-2
35,New Mexico,African-American / Black,2013,Percent,N/A,N/A
35,New Mexico,Hispanic / Latino,2013,Percent,0.4189,4.0571998800000002E-2
35,New Mexico,Other / Multiple Races,2013,Percent,0.4951,6.4680002599999994E-2
35,New Mexico,White,2012,Percent,0.19,4.1356001000000003E-2
35,New Mexico,African-American / Black,2012,Percent,N/A,N/A
35,New Mexico,Hispanic / Latino,2012,Percent,0.3629,3.8024000799999999E-2
35,New Mexico,Other / Multiple Races,2012,Percent,0.48,6.6835999500000007E-2
35,New Mexico,White,2011,Percent,0.1493,3.7239998599999997E-2
35,New Mexico,African-American / Black,2011,Percent,N/A,N/A
35,New Mexico,Hispanic / Latino,2011,Percent,0.3994,4.2532000700000003E-2
35,New Mexico,Other / Multiple Races,2011,Percent,0.4249,6.2523998299999994E-2
35,New Mexico,White,2010,Percent,0.1615,3.3711999700000002E-2
35,New Mexico,African-American / Black,2010,Percent,0.2803,0.1624840051
35,New Mexico,Hispanic / Latino,2010,Percent,0.4062,3.6848001200000001E-2
35,New Mexico,Other / Multiple Races,2010,Percent,0.4076,7.0756003299999995E-2
35,New Mexico,White,2009,Percent,0.1662,3.8219999499999997E-2
35,New Mexico,African-American / Black,2009,Percent,0.584,0.208348006
35,New Mexico,Hispanic / Latino,2009,Percent,0.3705,3.7043999899999999E-2
35,New Mexico,Other / Multiple Races,2009,Percent,0.4156,7.8008003500000006E-2
35,New Mexico,White,2008,Percent,0.1401,3.4104000799999999E-2
35,New Mexico,African-American / Black,2008,Percent,N/A,N/A
35,New Mexico,Hispanic / Latino,2008,Percent,0.3429,3.78279984E-2
35,New Mexico,Other / Multiple Races,2008,Percent,0.3929,6.9580003599999996E-2
35,New Mexico,African-American / Black,2017,Percent,0.4548,0.25107599999999997
35,New Mexico,Hispanic / Latino,2017,Percent,0.3343,4.1356000000000004E-2
35,New Mexico,Other / Multiple Races,2017,Percent,0.4246,6.1739999999999996E-2
35,New Mexico,White,2017,Percent,0.1794,4.7236E-2
35,New Mexico,African-American / Black,2018,Percent,N/A,N/A
35,New Mexico,Hispanic / Latino,2018,Percent,0.3597,4.3316E-2
35,New Mexico,Other / Multiple Races,2018,Percent,0.3991,6.9384000000000001E-2
35,New Mexico,White,2018,Percent,0.1726,4.4492000000000004E-2
35,New Mexico,African-American / Black,2019,Percent,N/A,N/A
35,New Mexico,Hispanic / Latino,2019,Percent,0.286,4.1943999999999995E-2
35,New Mexico,Other / Multiple Races,2019,Percent,0.3552,6.7227999999999996E-2
35,New Mexico,White,2019,Percent,0.1203,3.5083999999999997E-2
35,New Mexico,African-American / Black,2021,Percent,0.51841,0.23947287828831867
35,New Mexico,Hispanic / Latino,2021,Percent,0.27276,3.9515917753516552E-2
35,New Mexico,Other / Multiple Races,2021,Percent,0.33238,6.7227693441837058E-2
35,New Mexico,White,2021,Percent,0.21153,5.6204223302799936E-2
36,New York,African-American / Black,2016,Percent,0.3362,2.5871999600000001E-2
36,New York,Hispanic / Latino,2016,Percent,0.3982,2.0775999900000001E-2
36,New York,White,2016,Percent,0.1514,9.9960007000000003E-3
36,New York,Other / Multiple Races,2016,Percent,0.2254,2.0579999299999999E-2
36,New York,White,2015,Percent,0.1599,1.01920003E-2
36,New York,African-American / Black,2015,Percent,0.3905,2.4892000500000001E-2
36,New York,Hispanic / Latino,2015,Percent,0.4089,2.1167999100000001E-2
36,New York,Other / Multiple Races,2015,Percent,0.2347,2.1756000800000001E-2
36,New York,White,2014,Percent,0.1628,1.01920003E-2
36,New York,African-American / Black,2014,Percent,0.3799,2.44999994E-2
36,New York,Hispanic / Latino,2014,Percent,0.4078,2.0579999299999999E-2
36,New York,Other / Multiple Races,2014,Percent,0.2512,2.3911999499999999E-2
36,New York,White,2013,Percent,0.1654,1.01920003E-2
36,New York,African-American / Black,2013,Percent,0.4026,2.4892000500000001E-2
36,New York,Hispanic / Latino,2013,Percent,0.4165,2.0579999299999999E-2
36,New York,Other / Multiple Races,2013,Percent,0.2572,2.33239997E-2
36,New York,White,2012,Percent,0.1595,9.6039995999999996E-3
36,New York,African-American / Black,2012,Percent,0.389,2.44999994E-2
36,New York,Hispanic / Latino,2012,Percent,0.4221,2.03840006E-2
36,New York,Other / Multiple Races,2012,Percent,0.2844,2.5087999199999999E-2
36,New York,White,2011,Percent,0.1479,9.8000000999999993E-3
36,New York,African-American / Black,2011,Percent,0.3775,2.35200003E-2
36,New York,Hispanic / Latino,2011,Percent,0.4052,2.0579999299999999E-2
36,New York,Other / Multiple Races,2011,Percent,0.263,2.5087999199999999E-2
36,New York,White,2010,Percent,0.1436,8.8200000999999993E-3
36,New York,African-American / Black,2010,Percent,0.3765,2.2539999299999999E-2
36,New York,Hispanic / Latino,2010,Percent,0.4125,1.9207999100000001E-2
36,New York,Other / Multiple Races,2010,Percent,0.2498,2.44999994E-2
36,New York,White,2009,Percent,0.1384,8.6239995E-3
36,New York,African-American / Black,2009,Percent,0.3456,2.3127999199999999E-2
